order_id,customer_id,product_id,warehouse_id,quantity,order_date,required_date,status
ORD001,CUST001,PROD001,WH001,30,2026-09-01,2026-09-07,confirmed
ORD002,CUST002,PROD001,WH002,20,2026-09-02,2026-09-08,confirmed
ORD003,CUST003,PROD002,WH001,80,2026-09-02,2026-09-09,confirmed
ORD004,CUST004,PROD003,WH002,120,2026-09-01,2026-09-06,confirmed
ORD005,CUST005,PROD003,WH001,100,2026-09-02,2026-09-07,confirmed
ORD006,CUST006,PROD004,WH003,70,2026-09-02,2026-09-08,confirmed
ORD007,CUST007,PROD005,WH002,60,2026-09-03,2026-09-09,confirmed
ORD008,CUST008,PROD006,WH002,40,2026-09-03,2026-09-10,confirmed
ORD009,CUST009,PROD007,WH003,100,2026-09-01,2026-09-06,confirmed
ORD010,CUST010,PROD008,WH003,50,2026-09-02,2026-09-10,confirmed
ORD011,CUST001,PROD009,WH001,150,2026-09-03,2026-09-11,confirmed
ORD012,CUST005,PROD010,WH002,70,2026-09-03,2026-09-12,confirmed
ORD013,CUST002,PROD001,WH001,50,2026-09-04,2026-09-10,confirmed
ORD014,CUST003,PROD005,WH003,80,2026-09-04,2026-09-11,confirmed
ORD015,CUST009,PROD008,WH003,40,2026-09-04,2026-09-12,confirmed
