shipment_id,supplier_id,product_id,warehouse_id,quantity,ship_date,expected_date,status
SHIP001,SUP001,PROD001,WH001,100,2026-09-01,2026-09-08,in_transit
SHIP002,SUP001,PROD002,WH001,150,2026-09-02,2026-09-09,in_transit
SHIP003,SUP002,PROD003,WH002,200,2026-09-01,2026-09-07,in_transit
SHIP004,SUP002,PROD004,WH003,120,2026-09-02,2026-09-08,in_transit
SHIP005,SUP003,PROD005,WH002,100,2026-09-03,2026-09-10,in_transit
SHIP006,SUP003,PROD006,WH002,80,2026-09-03,2026-09-11,in_transit
SHIP007,SUP004,PROD007,WH003,130,2026-09-01,2026-09-06,in_transit
SHIP008,SUP004,PROD008,WH003,70,2026-09-02,2026-09-09,in_transit
SHIP009,SUP005,PROD009,WH001,250,2026-09-04,2026-09-12,in_transit
SHIP010,SUP005,PROD010,WH002,90,2026-09-04,2026-09-13,in_transit
SHIP011,SUP001,PROD001,WH002,60,2026-08-28,2026-09-04,delivered
SHIP012,SUP003,PROD005,WH003,50,2026-08-27,2026-09-03,delivered
SHIP013,SUP002,PROD003,WH001,100,2026-08-29,2026-09-05,delivered
